Categoria;Palabras clave;Frecuencia al interior del grupo;Frecuencia entre los grupos
Juridicos;regional;1;8
Ventas - Comercial - Administración;regional;18;8
Operativo;regional;3;8
Financiero;regional;1;8
Practicantes - Aprendices;regional;1;8
Salud;regional;4;8
Servicio al cliente;regional;2;8
Diseño;regional;1;8
Construcción;estudiante;1;17
Operativo;estudiante;8;17
SST;estudiante;3;17
Servicio al cliente;estudiante;8;17
Talento TI;estudiante;3;17
Juridicos;estudiante;1;17
Marketing;estudiante;3;17
Compras;estudiante;4;17
Salud;estudiante;1;17
Recursos Humanos;estudiante;2;17
Psicologia;estudiante;5;17
Ventas - Comercial - Administración;estudiante;9;17
Logistica;estudiante;6;17
Practicantes - Aprendices;estudiante;84;17
Diseño;estudiante;2;17
Contaduria;estudiante;11;17
Financiero;estudiante;2;17
Diseño;industrail;1;1
Operativo;fusion;2;1
Practicantes - Aprendices;humanadministracion;1;1
Operativo;calificado;11;1
Operativo;bioindustrial;1;1
Servicio al cliente;rock;1;1
Diseño;sudaderas;1;1
Operativo;bomba;12;1
Recursos Humanos;empresas;3;19
Salud;empresas;1;19
SST;empresas;1;19
Financiero;empresas;2;19
Educación;empresas;1;19
Psicologia;empresas;3;19
Compras;empresas;2;19
Talento TI;empresas;1;19
Servicio al cliente;empresas;7;19
Practicantes - Aprendices;empresas;35;19
Operativo;empresas;83;19
Gastronomia;empresas;2;19
Juridicos;empresas;1;19
Project Manager;empresas;1;19
Contaduria;empresas;6;19
Gestión de Calidad;empresas;8;19
Ventas - Comercial - Administración;empresas;53;19
Diseño;empresas;1;19
Marketing;empresas;2;19
Diseño;tela;1;3
Operativo;tela;5;3
Ventas - Comercial - Administración;tela;1;3
Financiero;controller;5;5
Contaduria;controller;1;5
Servicio al cliente;controller;8;5
Logistica;controller;1;5
Talento TI;controller;1;5
Ventas - Comercial - Administración;intima;1;1
Psicologia;lance;1;2
Ventas - Comercial - Administración;lance;7;2
Ventas - Comercial - Administración;ocaña;3;3
Practicantes - Aprendices;ocaña;1;3
Operativo;ocaña;1;3
Ventas - Comercial - Administración;licenciamiento;1;1
Servicio al cliente;recepcion;3;3
Salud;recepcion;1;3
Operativo;recepcion;12;3
Operativo;torero;1;1
Talento TI;estandar;3;1
Servicio al cliente;inside;1;1
Servicio al cliente;asosor;1;1
Financiero;trainee;1;2
Recursos Humanos;trainee;16;2
Talento TI;divi;1;1
Ventas - Comercial - Administración;pigerente;1;1
Ventas - Comercial - Administración;petrolera;1;1
Practicantes - Aprendices;patrocinado;2;1
Project Manager;formulacion;1;2
Operativo;formulacion;1;2
Gestión de Calidad;instructora;9;1
Operativo;desacondicionamiento;1;1
Ventas - Comercial - Administración;psicologo;2;3
Talento TI;psicologo;1;3
Psicologia;psicologo;104;3
Operativo;oral;14;2
Ventas - Comercial - Administración;oral;1;2
Ventas - Comercial - Administración;pescaderia;1;1
Operativo;prefijadora;2;1
Ventas - Comercial - Administración;divisional;6;1
Construcción;aquitecto;1;1
Talento TI;administrator;2;1
Financiero;reservas;1;3
Servicio al cliente;reservas;1;3
Operativo;reservas;1;3
Servicio al cliente;asignacion;1;3
Salud;asignacion;2;3
Operativo;asignacion;1;3
Operativo;cercar;1;1
Operativo;fcaw;1;1
Ventas - Comercial - Administración;jardinero;2;2
Operativo;jardinero;16;2
Talento TI;ar;1;1
Operativo;utoventa;1;1
Talento TI;arquitectura;9;4
